Method,F1,AUC,Accuracy,Precision,Recall
GRU Baseline,0.8867598809911712,0.8526479096388974,0.8338662895337481,0.8755722542542683,0.901541922870278
LSTM,0.8823546472843926,0.8425477711457573,0.8292375647928326,0.866931547220284,0.905718000253226
Hybrid (PC+Granulation),0.8373744567634559,0.7577878986721608,0.7816262370216837,0.8436283521941995,0.8411689579395248
Hybrid (RF+Granulation),0.7793302764526251,0.7299186733860198,0.7467672204705416,0.800397277738791,0.7728644295197785
XGBoost,0.6204360715010001,0.8326946520670938,0.8562391166496351,0.6312634542839562,0.6139373053846738
SVM,0.6020701092706114,0.7617645534292653,0.775961606957925,0.554698061690922,0.7012890179995445
Random Forest,0.5996060421881197,0.8357652627133808,0.84539699170333,0.5927926917314145,0.6101892990050884
Decision Tree,0.5736028476095799,0.6808523988539129,0.7984194037505046,0.5569164926343503,0.6033143464722411
Naive Bayes,0.503467292940977,0.7743154676722191,0.721713060882243,0.5934709412970283,0.4982216905901116
