Method,F1,AUC,Accuracy,Precision,Recall
Hybrid (RF+Granulation),0.8696995460119901,0.6682037455299968,0.7952580209740014,0.8226495744677761,0.9253530303560517
Hybrid (PC+Granulation),0.8657471961570412,0.5533322034004674,0.7800560619126784,0.7974158585704763,0.9523628071119157
LSTM,0.8457572211193984,0.7071356222133982,0.7763130653943993,0.8308124462782539,0.8704165053091749
GRU Baseline,0.8437955269510736,0.7153817235063819,0.7726210484102363,0.8344905392127207,0.8611343514770817
Random Forest,0.6063321577112613,0.8064932264128354,0.8059001834392883,0.6327484448783421,0.5842991899165308
XGBoost,0.5902494532881786,0.7949190184084598,0.8046085059222085,0.644600265691055,0.5482385010353937
Decision Tree,0.5689818530315175,0.6991836047428719,0.7684051936927047,0.5518215054283901,0.5897605487172943
SVM,0.49383003433544365,0.692435402168288,0.6840286814123184,0.4575996330832327,0.5952968953804898
Naive Bayes,0.24894083915681894,0.6144889805932676,0.4453496020518761,0.34004424047273857,0.5315102783833023
