,ant-1.7,camel-1.6,ivy,jEdit-4.2,log4j-1.2,xerces-1.4
ant-1.7,,0.7906772207563765,0.8205128205128205,0.8459915611814346,0.7660668380462725,0.6733760292772186
camel-1.6,0.8614762386248737,,0.7846309403437816,0.7952047952047953,0.6934306569343066,0.8852188274153592
ivy,0.8415240198785201,0.7738442315701791,,0.8645294725956567,0.7566137566137566,0.7250859106529209
jEdit-4.2,0.8223844282238443,0.7221959299574066,0.8329355608591885,,0.6601307189542484,0.618510158013544
log4j-1.2,0.8755667506297229,0.8564007421150278,0.7926829268292683,0.8307692307692308,,0.8573529411764705
xerces-1.4,0.8753104818678589,0.8506957502820609,0.7912087912087912,0.830945558739255,0.7609561752988048,
