method,f1,auc,accuracy,precision,recall
GRU ????,86.8160523867715,85.13347086294641,81.08101551458503,85.20902296903762,88.80059531413261
LSTM,85.38975344860731,82.6774789146301,79.18361227695063,83.01356457484574,88.31090169778442
??? ?????? (?+?+?),81.4072634971677,80.96430854243309,76.3656063244593,86.20821381749495,77.60868388139508
XGBoost,61.190062475913265,83.98754735304416,85.25521786671982,61.882785321512735,61.021436166173004
SVM,60.23178421944084,76.06193190437344,77.68883958157485,55.582006350341594,69.83128275233538
Random Forest,59.916299880277016,82.21606168510571,84.53415499896187,58.80005364718986,61.407097288676226
Decision Tree,58.215218125752685,70.4135057899856,79.78970472644133,55.998426147712046,62.311403508771924
Naive Bayes,50.346729294097706,77.47683530340063,72.1713060882243,59.347094129702825,49.82216905901116
